created_date,final_score,score
2017-08-23,-0.2921548366546631,7.4
2017-08-24,-0.262398362159729,22.8
2017-08-25,0.36206564903259275,2.8
2017-08-26,-0.38434181213378904,10.4
2017-08-27,-0.27915464639663695,8.8
2017-08-28,-0.4284455180168152,35.8
2017-08-29,-0.6717811703681946,9.8
2017-08-30,-0.5341888666152954,10.0
2017-08-31,-0.3907657086849213,4.4
2017-09-01,0.0009926199913024903,8.4
2017-09-02,0.13864731788635254,2.2
2017-09-03,-0.43623961210250856,18.6
2017-09-04,-0.4389017343521118,3.0
2017-09-05,-0.12778997421264648,13.2
2017-09-06,-0.09712921380996704,9.2
2017-09-07,-0.03966977596282959,25.8
2017-09-08,-0.012482595443725587,3.2
2017-09-09,0.1310636043548584,3.4
2017-09-10,-0.21097634434700013,10.8
2017-09-11,-0.21746233701705933,9.8
2017-09-12,-0.2742138385772705,6.0
2017-09-13,0.1243751049041748,6.4
2017-09-14,-0.34146825075149534,15.4
2017-09-15,0.13057373762130736,7.6
2017-09-16,-0.3400098443031311,13.6
2017-09-17,-0.09868980646133423,8.6
2017-09-18,-0.05296372175216675,3.8
2017-09-19,0.05719814300537109,3.0
2017-09-20,-0.0011304497718811035,18.8
2017-09-21,-0.3861053705215454,30.2
2017-09-22,0.12175636291503907,20.8
2017-09-23,-0.2509996175765991,7.2
2017-09-24,-0.24888643622398376,9.2
2017-09-25,-0.285865843296051,22.0
2017-09-26,-0.52150838971138,13.4
2017-09-27,0.20151708126068116,129.0
2017-09-28,0.1512672185897827,41.8
2017-09-29,-0.5274888634681701,8.4
2017-09-30,0.11290544271469116,5.6
2017-10-01,-0.07445766925811767,14.2
2017-10-02,-0.3800518035888672,16.2
2017-10-03,0.0,5.2
2017-10-04,0.04179787635803223,4.4
2017-10-05,-0.4773466467857361,21.8
2017-10-06,-0.3584782600402832,11.4
2017-10-07,-0.051265943050384524,14.6
2017-10-08,-0.2696498155593872,6.2
2017-10-09,-0.023303818702697755,11.8
2017-10-10,-0.19480471611022948,8.2
2017-10-11,-0.5802307844161987,11.4
2017-10-12,0.005876171588897705,7.8
2017-10-13,-0.3963947892189026,8.4
2017-10-14,-0.2867851614952087,9.8
2017-10-15,-0.41417531967163085,17.4
2017-10-16,-0.339019250869751,6.0
2017-10-17,-0.32716141939163207,7.8
2017-10-18,-0.4067597031593323,8.4
2017-10-19,-0.4780296564102173,8.4
2017-10-20,-0.193245792388916,6.0
2017-10-21,-0.06540495157241821,4.4
2017-10-22,0.21721787452697755,14.8
2017-10-23,-0.27094831466674807,11.8
2017-10-24,0.1698164463043213,6.0
2017-10-25,0.0,4.2
2017-10-26,-0.1594588875770569,7.4
2017-10-27,-0.359266996383667,4.6
2017-10-28,-0.4201724410057068,11.0
2017-10-29,0.0,5.0
2017-10-30,-0.360781192779541,20.2
2017-10-31,-0.2724462032318115,4.0
2017-11-01,-0.06170214414596557,12.8
2017-11-02,0.4757788062095642,6.8
2017-11-03,0.013475477695465088,6.4
2017-11-04,0.0,12.0
2017-11-05,0.2743887186050415,10.0
2017-11-06,-0.03009287118911743,11.6
2017-11-07,-0.20832359790802002,16.4
2017-11-08,-0.533985185623169,41.4
2017-11-09,-0.029212605953216553,11.2
2017-11-10,0.012042081356048584,6.0
2017-11-11,0.14651914834976196,3.2
2017-11-12,-0.16014726161956788,15.4
2017-11-13,-0.6150266230106354,11.4
2017-11-14,-0.5493151545524597,38.4
2017-11-15,-0.1254727840423584,5.6
2017-11-16,-0.33608160018920896,16.6
2017-11-17,-0.4543155550956726,37.4
2017-11-18,-0.15617479085922242,7.6
2017-11-19,-0.5005086898803711,22.2
2017-11-20,-0.05681986808776855,36.6
2017-11-21,0.29742611646652223,11.8
2017-11-22,0.0,5.4
2017-11-23,-0.26450265645980836,17.0
2017-11-24,-0.1933668375015259,19.8
2017-11-26,-0.8224014282226563,13.4
2017-11-27,-0.3898210823535919,8.8
2017-11-28,-0.27221795320510866,12.2
2017-11-29,0.03180961608886719,7.0
2017-11-30,0.1877621054649353,10.8
2017-12-01,-0.43243433237075807,22.2
2017-12-02,-0.5872612595558167,5.8
2017-12-03,-0.22360740900039672,76.0
